,created_datetime,last_modified_datetime,product_name,generic_name,quantity,serving_size,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,main_category_en,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g
10338,2015-01-19 08:33:58+00:00,2015-08-09 17:35:47+00:00,Pepsi Max,zero calorie cola,2 L,12 fl. oz (355 mL),c,unknown,unknown,Diet-colas,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
16154,2016-08-16 19:25:43+00:00,2016-08-16 20:22:35+00:00,Heinen's Organic Unsweetened With Lemon  Iced Tea ,Unsweetened Iced Tea With Lemon,16 OZ (473 mL),8 fl. oz. (237 mL),b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.422,0.0,,,0.0
21767,2016-11-20 17:47:17+00:00,2017-04-06 16:09:34+00:00,Morton Iodized Salt,iodized salt,26 oz,1.5 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
23901,2016-11-05 05:38:12+00:00,2016-11-05 06:05:17+00:00,Fritos,Fritos`,28.3 g ,,c,Salty snacks,Appetizers,Salty snacks,0.0,10.0,1.5,,,,,,,,16.0,0.0,,1.0,2.0
51836,2015-01-19 08:26:37+00:00,2017-03-09 14:35:38+00:00,S.Pellegrino,Sparkling Natural Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,8 fl. oz (240 mL),a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
61035,2015-01-19 08:29:00+00:00,2016-11-25 14:32:57+00:00,S.Pellegrino,Sparkling Natural Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,8 fl. oz (237 mL),a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
68088,2016-04-15 01:04:19+00:00,2016-04-15 01:40:04+00:00,Sour Cream,Sour Cream,500mL,30mL,c,Milk and dairy products,Milk and yogurt,Dairies,0.0,15.0,8.33,,,,,,0.333,0.0333,6.67,3.33,,0.0,3.33
120737,2015-08-24 07:41:09+00:00,2015-08-24 07:50:28+00:00,Rose Water,Rosenwasser,300 ml,15 ml,b,unknown,unknown,de:Rosenwasser,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
142069,2015-01-19 08:25:45+00:00,2015-01-30 19:20:50+00:00,Perrier,Sparkling Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,8 fl. oz (240 mL),a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
178049,2016-03-18 15:11:09+00:00,2016-03-18 15:33:46+00:00,Hayat Su,Danone,"0,50 l",0.50 l,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
179429,2013-04-25 11:39:12+00:00,2017-08-07 17:06:54+00:00,Sel fin,Sel de table extra fin,750g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
179731,2015-05-21 20:02:16+00:00,2016-12-22 11:17:04+00:00,Jodsalz fein,Speisesalz,500g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
180247,2014-03-04 15:20:54+00:00,2017-09-02 13:54:23+00:00,Kania Poivres mélanges,Pfeffer bund,35g,,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
183169,2016-09-16 16:26:08+00:00,2017-08-29 12:33:44+00:00,Sel fin de Guérande,Sel marin gris alimentaire,250 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
185738,2015-06-04 06:21:36+00:00,2016-12-22 11:16:19+00:00,Jodsalz mit Fluorid,Jodiertes Speisesalz mit Zusatz von Fluorid,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
188310,2015-06-22 07:28:15+00:00,2017-07-29 20:23:36+00:00,Source Faustine saveur Citron-Citron Vert,Eau minérale gazeuse,"1,25",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
188311,2012-09-16 12:35:06+00:00,2017-04-01 09:33:20+00:00,Eau de source Arcens,Eau Minérale Naturelle renforcée au gaz de la source,1.25l,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
